2025-06-18 10:28:52 WARN  [http-nio-8080-exec-3] ACCESS_LOG - IP: 0:0:0:0:0:0:0:1, Method: POST, URL: /api/customers/register/initiate, Status: 400, Time: 248 ms, Headers: content-type=application/json, accept=*/*, user-agent=PostmanRuntime/7.44.1, postman-token=***HIDDEN***, host=localhost:8080, accept-encoding=gzip, deflate, br, connection=keep-alive, content-length=263
2025-06-18 10:43:04 WARN  [http-nio-8080-exec-9] ACCESS_LOG - IP: 0:0:0:0:0:0:0:1, Method: POST, URL: /api/customers/register/kyc-and-otp?email=test25@example.com, Status: 400, Time: 7 ms, Headers: content-type=application/json, accept=*/*, accept-language=vi, user-agent=PostmanRuntime/7.44.1, postman-token=***HIDDEN***, host=localhost:8080, accept-encoding=gzip, deflate, br, connection=keep-alive, content-length=117
2025-06-18 10:43:13 WARN  [http-nio-8080-exec-1] ACCESS_LOG - IP: 0:0:0:0:0:0:0:1, Method: POST, URL: /api/customers/register/kyc-and-otp?email=test25@example.com, Status: 400, Time: 8 ms, Headers: content-type=application/json, accept=*/*, accept-language=vi, user-agent=PostmanRuntime/7.44.1, postman-token=***HIDDEN***, host=localhost:8080, accept-encoding=gzip, deflate, br, connection=keep-alive, content-length=117
2025-06-18 10:47:47 INFO  [http-nio-8080-exec-2] ACCESS_LOG - IP: 0:0:0:0:0:0:0:1, Method: GET, URL: /api/customers/status, Status: 200, Time: 47 ms, ClientInfo: RemoteUser=6ce3eb79-3988-4bdb-9e10-1fc435cf3f62, Headers: sec-ch-ua-platform="Windows", authorization=***HIDDEN***, user-agent=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Sa..., accept=application/json, text/plain, */*, sec-ch-ua="Google Chrome";v="137", "Chromium";v="137", "Not/A)Brand";v="24", sec-ch-ua-mobile=?0, origin=http://localhost:4200, sec-fetch-site=same-site, sec-fetch-mode=cors, sec-fetch-dest=empty, referer=http://localhost:4200/, accept-encoding=gzip, deflate, br, zstd, accept-language=vi-VN,vi;q=0.9,fr-FR;q=0.8,fr;q=0.7,en-US;q=0.6,en;q=0.5, forwarded=proto=http;host="localhost:8888";for="[0:0:0:0:0:0:0:1]:57731", x-forwarded-for=0:0:0:0:0:0:0:1, x-forwarded-proto=http, x-forwarded-port=8888, x-forwarded-host=localhost:8888, host=localhost:8080, content-length=0
2025-06-18 10:47:47 INFO  [http-nio-8080-exec-3] ACCESS_LOG - IP: 0:0:0:0:0:0:0:1, Method: GET, URL: /api/customers/status, Status: 200, Time: 8 ms, ClientInfo: RemoteUser=6ce3eb79-3988-4bdb-9e10-1fc435cf3f62, Headers: sec-ch-ua-platform="Windows", authorization=***HIDDEN***, user-agent=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Sa..., accept=application/json, text/plain, */*, sec-ch-ua="Google Chrome";v="137", "Chromium";v="137", "Not/A)Brand";v="24", sec-ch-ua-mobile=?0, origin=http://localhost:4200, sec-fetch-site=same-site, sec-fetch-mode=cors, sec-fetch-dest=empty, referer=http://localhost:4200/, accept-encoding=gzip, deflate, br, zstd, accept-language=vi-VN,vi;q=0.9,fr-FR;q=0.8,fr;q=0.7,en-US;q=0.6,en;q=0.5, forwarded=proto=http;host="localhost:8888";for="[0:0:0:0:0:0:0:1]:57731", x-forwarded-for=0:0:0:0:0:0:0:1, x-forwarded-proto=http, x-forwarded-port=8888, x-forwarded-host=localhost:8888, host=localhost:8080, content-length=0
2025-06-18 10:48:44 INFO  [http-nio-8080-exec-4] ACCESS_LOG - IP: 0:0:0:0:0:0:0:1, Method: GET, URL: /api/customers/status, Status: 200, Time: 10 ms, ClientInfo: RemoteUser=6ce3eb79-3988-4bdb-9e10-1fc435cf3f62, Headers: sec-ch-ua-platform="Windows", authorization=***HIDDEN***, user-agent=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Sa..., accept=application/json, text/plain, */*, sec-ch-ua="Google Chrome";v="137", "Chromium";v="137", "Not/A)Brand";v="24", sec-ch-ua-mobile=?0, origin=http://localhost:4200, sec-fetch-site=same-site, sec-fetch-mode=cors, sec-fetch-dest=empty, referer=http://localhost:4200/, accept-encoding=gzip, deflate, br, zstd, accept-language=vi-VN,vi;q=0.9,fr-FR;q=0.8,fr;q=0.7,en-US;q=0.6,en;q=0.5, forwarded=proto=http;host="localhost:8888";for="[0:0:0:0:0:0:0:1]:57764", x-forwarded-for=0:0:0:0:0:0:0:1, x-forwarded-proto=http, x-forwarded-port=8888, x-forwarded-host=localhost:8888, host=localhost:8080, content-length=0
2025-06-18 10:48:44 INFO  [http-nio-8080-exec-6] ACCESS_LOG - IP: 0:0:0:0:0:0:0:1, Method: GET, URL: /api/customers/detail, Status: 200, Time: 17 ms, ClientInfo: RemoteUser=6ce3eb79-3988-4bdb-9e10-1fc435cf3f62, Headers: sec-ch-ua-platform="Windows", authorization=***HIDDEN***, user-agent=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Sa..., accept=application/json, text/plain, */*, sec-ch-ua="Google Chrome";v="137", "Chromium";v="137", "Not/A)Brand";v="24", sec-ch-ua-mobile=?0, origin=http://localhost:4200, sec-fetch-site=same-site, sec-fetch-mode=cors, sec-fetch-dest=empty, referer=http://localhost:4200/, accept-encoding=gzip, deflate, br, zstd, accept-language=vi-VN,vi;q=0.9,fr-FR;q=0.8,fr;q=0.7,en-US;q=0.6,en;q=0.5, forwarded=proto=http;host="localhost:8888";for="[0:0:0:0:0:0:0:1]:57764", x-forwarded-for=0:0:0:0:0:0:0:1, x-forwarded-proto=http, x-forwarded-port=8888, x-forwarded-host=localhost:8888, host=localhost:8080, content-length=0
2025-06-18 10:48:45 INFO  [http-nio-8080-exec-5] ACCESS_LOG - IP: 0:0:0:0:0:0:0:1, Method: GET, URL: /api/customers/accounts, Status: 200, Time: 1377 ms, Headers: sec-ch-ua-platform="Windows", authorization=***HIDDEN***, user-agent=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Sa..., accept=application/json, text/plain, */*, sec-ch-ua="Google Chrome";v="137", "Chromium";v="137", "Not/A)Brand";v="24", sec-ch-ua-mobile=?0, origin=http://localhost:4200, sec-fetch-site=same-site, sec-fetch-mode=cors, sec-fetch-dest=empty, referer=http://localhost:4200/, accept-encoding=gzip, deflate, br, zstd, accept-language=vi-VN,vi;q=0.9,fr-FR;q=0.8,fr;q=0.7,en-US;q=0.6,en;q=0.5, forwarded=proto=http;host="localhost:8888";for="[0:0:0:0:0:0:0:1]:57765", x-forwarded-for=0:0:0:0:0:0:0:1, x-forwarded-proto=http, x-forwarded-port=8888, x-forwarded-host=localhost:8888, host=localhost:8080, content-length=0
2025-06-18 10:49:05 INFO  [http-nio-8080-exec-7] ACCESS_LOG - Updated Keycloak user with ID: 6ce3eb79-3988-4bdb-9e10-1fc435cf3f62
2025-06-18 10:49:05 INFO  [http-nio-8080-exec-7] ACCESS_LOG - IP: 0:0:0:0:0:0:0:1, Method: PUT, URL: /api/customers/update, Status: 200, Time: 1019 ms, ClientInfo: RemoteUser=6ce3eb79-3988-4bdb-9e10-1fc435cf3f62, Headers: content-length=210, sec-ch-ua-platform="Windows", authorization=***HIDDEN***, user-agent=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Sa..., accept=application/json, text/plain, */*, sec-ch-ua="Google Chrome";v="137", "Chromium";v="137", "Not/A)Brand";v="24", content-type=application/json, sec-ch-ua-mobile=?0, origin=http://localhost:4200, sec-fetch-site=same-site, sec-fetch-mode=cors, sec-fetch-dest=empty, referer=http://localhost:4200/, accept-encoding=gzip, deflate, br, zstd, accept-language=vi-VN,vi;q=0.9,fr-FR;q=0.8,fr;q=0.7,en-US;q=0.6,en;q=0.5, forwarded=proto=http;host="localhost:8888";for="[0:0:0:0:0:0:0:1]:57769", x-forwarded-for=0:0:0:0:0:0:0:1, x-forwarded-proto=http, x-forwarded-port=8888, x-forwarded-host=localhost:8888, host=localhost:8080
2025-06-18 10:49:52 INFO  [http-nio-8080-exec-9] ACCESS_LOG - IP: 0:0:0:0:0:0:0:1, Method: GET, URL: /api/customers/status, Status: 200, Time: 7 ms, ClientInfo: RemoteUser=6ce3eb79-3988-4bdb-9e10-1fc435cf3f62, Headers: sec-ch-ua-platform="Windows", authorization=***HIDDEN***, user-agent=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Sa..., accept=application/json, text/plain, */*, sec-ch-ua="Google Chrome";v="137", "Chromium";v="137", "Not/A)Brand";v="24", sec-ch-ua-mobile=?0, origin=http://localhost:4200, sec-fetch-site=same-site, sec-fetch-mode=cors, sec-fetch-dest=empty, referer=http://localhost:4200/, accept-encoding=gzip, deflate, br, zstd, accept-language=vi-VN,vi;q=0.9,fr-FR;q=0.8,fr;q=0.7,en-US;q=0.6,en;q=0.5, forwarded=proto=http;host="localhost:8888";for="[0:0:0:0:0:0:0:1]:57795", x-forwarded-for=0:0:0:0:0:0:0:1, x-forwarded-proto=http, x-forwarded-port=8888, x-forwarded-host=localhost:8888, host=localhost:8080, content-length=0
2025-06-18 10:49:52 INFO  [http-nio-8080-exec-10] ACCESS_LOG - IP: 0:0:0:0:0:0:0:1, Method: GET, URL: /api/customers/list?page=0&size=10&keyword=***HIDDEN***, Status: 200, Time: 75 ms, ClientInfo: RemoteUser=6ce3eb79-3988-4bdb-9e10-1fc435cf3f62, Headers: sec-ch-ua-platform="Windows", authorization=***HIDDEN***, user-agent=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Sa..., accept=application/json, text/plain, */*, sec-ch-ua="Google Chrome";v="137", "Chromium";v="137", "Not/A)Brand";v="24", sec-ch-ua-mobile=?0, origin=http://localhost:4200, sec-fetch-site=same-site, sec-fetch-mode=cors, sec-fetch-dest=empty, referer=http://localhost:4200/, accept-encoding=gzip, deflate, br, zstd, accept-language=vi-VN,vi;q=0.9,fr-FR;q=0.8,fr;q=0.7,en-US;q=0.6,en;q=0.5, forwarded=proto=http;host="localhost:8888";for="[0:0:0:0:0:0:0:1]:57795", x-forwarded-for=0:0:0:0:0:0:0:1, x-forwarded-proto=http, x-forwarded-port=8888, x-forwarded-host=localhost:8888, host=localhost:8080, content-length=0
2025-06-18 11:13:29 INFO  [http-nio-8080-exec-2] ACCESS_LOG - IP: 0:0:0:0:0:0:0:1, Method: GET, URL: /api/customers/status, Status: 200, Time: 9 ms, ClientInfo: RemoteUser=6ce3eb79-3988-4bdb-9e10-1fc435cf3f62, Headers: sec-ch-ua-platform="Windows", authorization=***HIDDEN***, user-agent=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Sa..., accept=application/json, text/plain, */*, sec-ch-ua="Google Chrome";v="137", "Chromium";v="137", "Not/A)Brand";v="24", sec-ch-ua-mobile=?0, origin=http://localhost:4200, sec-fetch-site=same-site, sec-fetch-mode=cors, sec-fetch-dest=empty, referer=http://localhost:4200/, accept-encoding=gzip, deflate, br, zstd, accept-language=vi-VN,vi;q=0.9,fr-FR;q=0.8,fr;q=0.7,en-US;q=0.6,en;q=0.5, forwarded=proto=http;host="localhost:8888";for="[0:0:0:0:0:0:0:1]:57974", x-forwarded-for=0:0:0:0:0:0:0:1, x-forwarded-proto=http, x-forwarded-port=8888, x-forwarded-host=localhost:8888, host=localhost:8080, content-length=0
2025-06-18 11:13:32 INFO  [http-nio-8080-exec-3] ACCESS_LOG - IP: 0:0:0:0:0:0:0:1, Method: GET, URL: /api/customers/status, Status: 200, Time: 9 ms, ClientInfo: RemoteUser=6ce3eb79-3988-4bdb-9e10-1fc435cf3f62, Headers: sec-ch-ua-platform="Windows", authorization=***HIDDEN***, user-agent=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Sa..., accept=application/json, text/plain, */*, sec-ch-ua="Google Chrome";v="137", "Chromium";v="137", "Not/A)Brand";v="24", sec-ch-ua-mobile=?0, origin=http://localhost:4200, sec-fetch-site=same-site, sec-fetch-mode=cors, sec-fetch-dest=empty, referer=http://localhost:4200/, accept-encoding=gzip, deflate, br, zstd, accept-language=vi-VN,vi;q=0.9,fr-FR;q=0.8,fr;q=0.7,en-US;q=0.6,en;q=0.5, forwarded=proto=http;host="localhost:8888";for="[0:0:0:0:0:0:0:1]:57974", x-forwarded-for=0:0:0:0:0:0:0:1, x-forwarded-proto=http, x-forwarded-port=8888, x-forwarded-host=localhost:8888, host=localhost:8080, content-length=0
2025-06-18 14:16:21 ERROR [http-nio-8080-exec-2] ACCESS_LOG - IP: 0:0:0:0:0:0:0:1, Method: POST, URL: /api/customers/login, Status: 500, Time: 99 ms, Headers: content-type=application/json, accept=application/json, accept-language=vi, user-agent=PostmanRuntime/7.44.1, postman-token=***HIDDEN***, host=localhost:8080, accept-encoding=gzip, deflate, br, connection=keep-alive, content-length=59
2025-06-18 14:17:01 ERROR [http-nio-8080-exec-6] ACCESS_LOG - IP: 0:0:0:0:0:0:0:1, Method: POST, URL: /api/customers/login, Status: 500, Time: 10 ms, Headers: content-type=application/json, accept=application/json, accept-language=vi, user-agent=PostmanRuntime/7.44.1, postman-token=***HIDDEN***, host=localhost:8080, accept-encoding=gzip, deflate, br, connection=keep-alive, content-length=59
2025-06-18 14:23:06 ERROR [http-nio-8080-exec-2] ACCESS_LOG - IP: 0:0:0:0:0:0:0:1, Method: POST, URL: /api/customers/login, Status: 500, Time: 879 ms, Headers: content-type=application/json, accept=application/json, accept-language=vi, user-agent=PostmanRuntime/7.44.1, postman-token=***HIDDEN***, host=localhost:8080, accept-encoding=gzip, deflate, br, connection=keep-alive, content-length=59
2025-06-18 14:27:07 ERROR [http-nio-8080-exec-2] ACCESS_LOG - IP: 0:0:0:0:0:0:0:1, Method: POST, URL: /api/customers/login, Status: 500, Time: 141 ms, Headers: content-type=application/json, accept=application/json, accept-language=vi, user-agent=PostmanRuntime/7.44.1, postman-token=***HIDDEN***, host=localhost:8080, accept-encoding=gzip, deflate, br, connection=keep-alive, content-length=59
2025-06-18 14:28:31 ERROR [http-nio-8080-exec-5] ACCESS_LOG - IP: 0:0:0:0:0:0:0:1, Method: POST, URL: /api/customers/login, Status: 500, Time: 78 ms, Headers: content-type=application/json, accept=application/json, accept-language=vi, user-agent=PostmanRuntime/7.44.1, postman-token=***HIDDEN***, host=localhost:8080, accept-encoding=gzip, deflate, br, connection=keep-alive, content-length=59
2025-06-18 14:29:30 ERROR [http-nio-8080-exec-9] ACCESS_LOG - IP: 0:0:0:0:0:0:0:1, Method: POST, URL: /api/customers/login, Status: 500, Time: 67 ms, Headers: content-type=application/json, accept=application/json, accept-language=vi, user-agent=PostmanRuntime/7.44.1, postman-token=***HIDDEN***, host=localhost:8080, accept-encoding=gzip, deflate, br, connection=keep-alive, content-length=59
2025-06-18 16:48:12 INFO  [http-nio-8080-exec-1] ACCESS_LOG - IP: 0:0:0:0:0:0:0:1, Method: GET, URL: /api/customers/status, Status: 200, Time: 209 ms, ClientInfo: RemoteUser=6ce3eb79-3988-4bdb-9e10-1fc435cf3f62, Headers: sec-ch-ua-platform="Windows", authorization=***HIDDEN***, user-agent=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Sa..., accept=application/json, text/plain, */*, sec-ch-ua="Google Chrome";v="137", "Chromium";v="137", "Not/A)Brand";v="24", sec-ch-ua-mobile=?0, origin=http://localhost:4200, sec-fetch-site=same-site, sec-fetch-mode=cors, sec-fetch-dest=empty, referer=http://localhost:4200/, accept-encoding=gzip, deflate, br, zstd, accept-language=vi-VN,vi;q=0.9,fr-FR;q=0.8,fr;q=0.7,en-US;q=0.6,en;q=0.5, forwarded=proto=http;host="localhost:8888";for="[0:0:0:0:0:0:0:1]:54400", x-forwarded-for=0:0:0:0:0:0:0:1, x-forwarded-proto=http, x-forwarded-port=8888, x-forwarded-host=localhost:8888, host=localhost:8080, content-length=0
2025-06-18 16:48:12 INFO  [http-nio-8080-exec-2] ACCESS_LOG - IP: 0:0:0:0:0:0:0:1, Method: GET, URL: /api/customers/status, Status: 200, Time: 7 ms, ClientInfo: RemoteUser=6ce3eb79-3988-4bdb-9e10-1fc435cf3f62, Headers: sec-ch-ua-platform="Windows", authorization=***HIDDEN***, user-agent=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Sa..., accept=application/json, text/plain, */*, sec-ch-ua="Google Chrome";v="137", "Chromium";v="137", "Not/A)Brand";v="24", sec-ch-ua-mobile=?0, origin=http://localhost:4200, sec-fetch-site=same-site, sec-fetch-mode=cors, sec-fetch-dest=empty, referer=http://localhost:4200/, accept-encoding=gzip, deflate, br, zstd, accept-language=vi-VN,vi;q=0.9,fr-FR;q=0.8,fr;q=0.7,en-US;q=0.6,en;q=0.5, forwarded=proto=http;host="localhost:8888";for="[0:0:0:0:0:0:0:1]:54400", x-forwarded-for=0:0:0:0:0:0:0:1, x-forwarded-proto=http, x-forwarded-port=8888, x-forwarded-host=localhost:8888, host=localhost:8080, content-length=0
2025-06-18 16:48:20 INFO  [http-nio-8080-exec-3] ACCESS_LOG - IP: 0:0:0:0:0:0:0:1, Method: GET, URL: /api/customers/status, Status: 200, Time: 10 ms, ClientInfo: RemoteUser=6ce3eb79-3988-4bdb-9e10-1fc435cf3f62, Headers: sec-ch-ua-platform="Windows", authorization=***HIDDEN***, user-agent=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Sa..., accept=application/json, text/plain, */*, sec-ch-ua="Google Chrome";v="137", "Chromium";v="137", "Not/A)Brand";v="24", sec-ch-ua-mobile=?0, origin=http://localhost:4200, sec-fetch-site=same-site, sec-fetch-mode=cors, sec-fetch-dest=empty, referer=http://localhost:4200/, accept-encoding=gzip, deflate, br, zstd, accept-language=vi-VN,vi;q=0.9,fr-FR;q=0.8,fr;q=0.7,en-US;q=0.6,en;q=0.5, forwarded=proto=http;host="localhost:8888";for="[0:0:0:0:0:0:0:1]:54412", x-forwarded-for=0:0:0:0:0:0:0:1, x-forwarded-proto=http, x-forwarded-port=8888, x-forwarded-host=localhost:8888, host=localhost:8080, content-length=0
2025-06-18 16:48:20 INFO  [http-nio-8080-exec-4] ACCESS_LOG - IP: 0:0:0:0:0:0:0:1, Method: GET, URL: /api/customers/list?page=0&size=10&keyword=***HIDDEN***, Status: 200, Time: 120 ms, ClientInfo: RemoteUser=6ce3eb79-3988-4bdb-9e10-1fc435cf3f62, Headers: sec-ch-ua-platform="Windows", authorization=***HIDDEN***, user-agent=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Sa..., accept=application/json, text/plain, */*, sec-ch-ua="Google Chrome";v="137", "Chromium";v="137", "Not/A)Brand";v="24", sec-ch-ua-mobile=?0, origin=http://localhost:4200, sec-fetch-site=same-site, sec-fetch-mode=cors, sec-fetch-dest=empty, referer=http://localhost:4200/, accept-encoding=gzip, deflate, br, zstd, accept-language=vi-VN,vi;q=0.9,fr-FR;q=0.8,fr;q=0.7,en-US;q=0.6,en;q=0.5, forwarded=proto=http;host="localhost:8888";for="[0:0:0:0:0:0:0:1]:54412", x-forwarded-for=0:0:0:0:0:0:0:1, x-forwarded-proto=http, x-forwarded-port=8888, x-forwarded-host=localhost:8888, host=localhost:8080, content-length=0
2025-06-18 16:48:33 INFO  [http-nio-8080-exec-5] ACCESS_LOG - IP: 0:0:0:0:0:0:0:1, Method: GET, URL: /api/customers/status, Status: 200, Time: 8 ms, ClientInfo: RemoteUser=6ce3eb79-3988-4bdb-9e10-1fc435cf3f62, Headers: sec-ch-ua-platform="Windows", authorization=***HIDDEN***, user-agent=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Sa..., accept=application/json, text/plain, */*, sec-ch-ua="Google Chrome";v="137", "Chromium";v="137", "Not/A)Brand";v="24", sec-ch-ua-mobile=?0, origin=http://localhost:4200, sec-fetch-site=same-site, sec-fetch-mode=cors, sec-fetch-dest=empty, referer=http://localhost:4200/, accept-encoding=gzip, deflate, br, zstd, accept-language=vi-VN,vi;q=0.9,fr-FR;q=0.8,fr;q=0.7,en-US;q=0.6,en;q=0.5, forwarded=proto=http;host="localhost:8888";for="[0:0:0:0:0:0:0:1]:54426", x-forwarded-for=0:0:0:0:0:0:0:1, x-forwarded-proto=http, x-forwarded-port=8888, x-forwarded-host=localhost:8888, host=localhost:8080, content-length=0
2025-06-18 16:48:33 INFO  [http-nio-8080-exec-6] ACCESS_LOG - IP: 0:0:0:0:0:0:0:1, Method: GET, URL: /api/customers/detail/9704522166661, Status: 200, Time: 13 ms, ClientInfo: RemoteUser=6ce3eb79-3988-4bdb-9e10-1fc435cf3f62, Headers: sec-ch-ua-platform="Windows", authorization=***HIDDEN***, user-agent=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Sa..., accept=application/json, text/plain, */*, sec-ch-ua="Google Chrome";v="137", "Chromium";v="137", "Not/A)Brand";v="24", sec-ch-ua-mobile=?0, origin=http://localhost:4200, sec-fetch-site=same-site, sec-fetch-mode=cors, sec-fetch-dest=empty, referer=http://localhost:4200/, accept-encoding=gzip, deflate, br, zstd, accept-language=vi-VN,vi;q=0.9,fr-FR;q=0.8,fr;q=0.7,en-US;q=0.6,en;q=0.5, forwarded=proto=http;host="localhost:8888";for="[0:0:0:0:0:0:0:1]:54426", x-forwarded-for=0:0:0:0:0:0:0:1, x-forwarded-proto=http, x-forwarded-port=8888, x-forwarded-host=localhost:8888, host=localhost:8080, content-length=0
